Project Name,Package Name,Architecture Smell,Cause of the Smell
Scribe4,eu.veldsoft.scribe4,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: eu.veldsoft.scribe4; eu.veldsoft.scribe4.model
Scribe4,eu.veldsoft.scribe4,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AIPlayer; Main; MiniGridDialog; MiniGridView; MoveLogger; ScribeBoardView; CellView; Constants; Log; Settings]; [DialogId]; [MiniGridViewSize]; [GlyphActivity]; [GlyphView]; [RulesActivity]; [ScribePreferences]; [SplashActivity]; [UpsideDownTextView]; [Util]. LCC (Lack of Component Cohesion) = 0.53
Scribe4,eu.veldsoft.scribe4.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: eu.veldsoft.scribe4.model; eu.veldsoft.scribe4
Scribe4,eu.veldsoft.scribe4.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): eu.veldsoft.scribe4
