Project Name,Package Name,Architecture Smell,Cause of the Smell
eve-control,org.apache.cordova,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 51
eve-control,org.apache.cordova,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.cordova; org.apache.cordova.engine
eve-control,org.apache.cordova,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.cordova.engine
eve-control,org.apache.cordova.engine,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.cordova.engine; org.apache.cordova
eve-control,org.apache.cordova.file,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
eve-control,org.apache.cordova.file,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssetFilesystem; Filesystem; ReadFileCallback; LimitedInputStream; FileUtils; FileOp; LocalFilesystem; LocalFilesystemURL; NoModificationAllowedException; PendingRequests; Request; TypeMismatchException; AssetFilesystem; ContentFilesystem; Filesystem; FileUtils; LocalFilesystem; LocalFilesystemURL; PendingRequests; ContentFilesystem; DirectoryManager; DirectoryManager; EncodingException; FileExistsException; InvalidModificationException]; [EncodingException]; [FileExistsException]; [ReadFileCallback]; [LimitedInputStream]; [FileOp]; [InvalidModificationException]; [NoModificationAllowedException]; [Request]; [TypeMismatchException]. LCC (Lack of Component Cohesion) = 0.29
eve-control,org.apache.cordova.media,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AudioHandler; AudioPlayer; FileHelper; AudioHandler; AudioPlayer]; [FileHelper]. LCC (Lack of Component Cohesion) = 0.33
eve-control,org.crosswalk.engine,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [XWalkCordovaClientCertRequest; XWalkCordovaResourceClient; XWalkCordovaView; XWalkWebViewEngine; PermissionRequestListener; XWalkCordovaResourceClient; XWalkCordovaUiClient; XWalkCordovaView; XWalkWebViewEngine; XWalkCordovaCookieManager; XWalkCordovaHttpAuthHandler; XWalkCordovaUiClient; XWalkFileChooser; XWalkExposedJsApi]; [XWalkCordovaClientCertRequest]; [XWalkCordovaCookieManager]; [XWalkCordovaHttpAuthHandler]; [XWalkExposedJsApi]; [XWalkFileChooser]; [PermissionRequestListener]. LCC (Lack of Component Cohesion) = 0.35
