Project Name,Package Name,Architecture Smell,Cause of the Smell
xmp-android,org.helllabs.android.xmp.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service; org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences
xmp-android,org.helllabs.android.xmp.service.notifier,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.notifier; org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.service.receiver
xmp-android,org.helllabs.android.xmp.service.notifier,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.notifier; org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.service.notifier,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.helllabs.android.xmp.service.utils
xmp-android,org.helllabs.android.xmp.service.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.service.notifier; org.helllabs.android.xmp.service.utils
xmp-android,org.helllabs.android.xmp.service.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.service.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service; org.helllabs.android.xmp.service.utils
xmp-android,org.helllabs.android.xmp.service.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.service.notifier
xmp-android,org.helllabs.android.xmp.service.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.service.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.service.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QueueManager; RandomIndex]; [RemoteControl; RemoteControlClientCompat; MetadataEditorCompat; RemoteControlHelper]; [Watchdog; OnTimeoutListener]. LCC (Lack of Component Cohesion) = 0.38
xmp-android,org.helllabs.android.xmp.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences
xmp-android,org.helllabs.android.xmp.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service; org.helllabs.android.xmp.service.receiver
xmp-android,org.helllabs.android.xmp.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service; org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.service.receiver
xmp-android,org.helllabs.android.xmp.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.helllabs.android.xmp.preferences; org.helllabs.android.xmp
xmp-android,org.helllabs.android.xmp.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChangeLog; Log]; [Crossfader]; [FileUtils; InfoCache; ModInfo]; [Message]. LCC (Lack of Component Cohesion) = 0.57
xmp-android,org.helllabs.android.xmp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp; org.helllabs.android.xmp.util
xmp-android,org.helllabs.android.xmp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
