Project Name,Package Name,Architecture Smell,Cause of the Smell
AndrOBD,com.fr3ts0n.ecu,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.fr3ts0n.ecu; com.fr3ts0n.ecu.prot.obd
AndrOBD,com.fr3ts0n.ecu,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.fr3ts0n.ecu.prot.obd
AndrOBD,com.fr3ts0n.ecu.prot.obd,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.fr3ts0n.ecu.prot.obd; com.fr3ts0n.ecu
AndrOBD,com.fr3ts0n.prot,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FtpLoader; TelegramListener; ProtoHeader; ProtUtils; StreamHandler; TelegramSender; TelegramWriter]; [SerialExt]; [UdpInputStream]. LCC (Lack of Component Cohesion) = 0.33
AndrOBD,com.fr3ts0n.prot.gui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KLHandler; RxThread; KLHandlerGeneric; SerialHandler; SerialHandlerGeneric]; [RxThread]; [SerialConfigPanel]. LCC (Lack of Component Cohesion) = 0.43
AndrOBD,com.fr3ts0n.pvs,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataMapHandler; PvList; DbProcessVar; IndexedProcessVar; ProcessVar; PvChangeEvent; PvChangeListener]; [PvLimits]. LCC (Lack of Component Cohesion) = 0.25
AndrOBD,com.fr3ts0n.pvs.gui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProcessVarBeanInfo; PvDetailPanel; PvExplorer; PvTable; PvTableCellRenderer; PvTableModel; PvTransferHandler; PvTreeNode; PvDataFlavor]; [PvTableBeanInfo]. LCC (Lack of Component Cohesion) = 0.2
